prodName,lowPrice,highPrice,avgPrice,place,unitInfo
带鱼,16.0,17.0,16.5,吊,斤
带鱼,18.0,19.0,18.5,吊,斤
黄花鱼,22.0,22.0,22.0,国产,斤
黄花鱼,22.0,23.0,22.5,国产,斤
黄花鱼,22.0,23.0,22.5,国产,斤
平鱼,12.0,13.0,12.5,国产,斤
平鱼,18.0,22.0,20.0,国产,斤
平鱼,28.0,30.0,29.0,国产,斤
平鱼,45.0,50.0,47.5,国产,斤
鱿鱼,20.0,21.0,20.5,,斤
鱿鱼,26.0,27.0,26.5,,斤
八爪鱼,45.0,50.0,47.5,,斤
海鲈鱼,17.0,18.0,17.5,,斤
墨鱼,33.0,35.0,34.0,,斤
金鲳鱼,22.0,23.0,22.5,,斤
金鲳鱼,23.0,24.0,23.5,,斤
白虾,18.0,19.0,18.5,,斤
白虾,24.5,25.0,24.75,,斤
白虾,23.5,24.0,23.75,,斤
白虾,22.0,23.0,22.5,,斤
白虾（笼装）,25.0,25.0,25.0,,斤
白虾（笼装）,24.0,24.0,24.0,,斤
白虾（精品）,26.0,26.0,26.0,,斤
白虾（精品）,25.0,25.0,25.0,,斤
小海白虾,25.0,30.0,27.5,,斤
小河虾,20.0,25.0,22.5,,斤
小河虾,30.0,32.0,31.0,,斤
琵琶虾,28.0,30.0,29.0,,斤
小青龙虾,180.0,190.0,185.0,,斤
虾仁,27.0,30.0,28.5,,斤
基围虾,130.0,140.0,135.0,,斤
罗氏虾,43.0,45.0,44.0,,斤
波士顿龙虾,160.0,170.0,165.0,,斤
澳洲龙虾,400.0,420.0,410.0,,斤
玫瑰龙虾,350.0,370.0,360.0,,斤
母河蟹,50.0,53.0,51.5,,斤
母河蟹,58.0,63.0,60.5,,斤
母河蟹,70.0,75.0,72.5,,斤
母梭子蟹,60.0,80.0,70.0,,斤
公梭子蟹,50.0,60.0,55.0,,斤
珍宝蟹,140.0,150.0,145.0,,斤
帝王蟹,170.0,180.0,175.0,,斤
面包蟹,70.0,75.0,72.5,,斤
鲍鱼,10.0,12.0,11.0,,个
鲍鱼,7.0,8.0,7.5,,个
鲍鱼,5.0,5.0,5.0,,个
扇贝,48.0,50.0,49.0,,斤
扇贝,42.0,43.0,42.5,,斤
扇贝,40.0,42.0,41.0,,斤
小红扇贝,4.0,6.0,5.0,,斤
象拔蚌,70.0,75.0,72.5,,斤
花螺,34.0,46.0,40.0,,斤
钉螺,6.0,8.0,7.0,,斤
海螺,17.0,18.0,17.5,,斤
海螺,20.0,23.0,21.5,,斤
海螺,30.0,40.0,35.0,,斤
蛏子,16.0,18.0,17.0,,斤
带子,16.0,18.0,17.0,,斤
生蚝,6.0,8.0,7.0,,斤
生蚝,7.0,9.0,8.0,,斤
黄蚬子,25.0,30.0,27.5,,斤
文蛤,11.0,12.0,11.5,,斤
白蛤,6.0,7.0,6.5,,斤
青蛤,15.0,16.0,15.5,,斤
花蛤,4.0,5.0,4.5,,斤
毛钳,6.0,8.0,7.0,,斤
田螺,2.5,3.0,2.75,,斤
猫眼螺,25.0,35.0,30.0,,斤
甲鱼,35.0,40.0,37.5,,斤
甲鱼,22.0,25.0,23.5,,斤
蚕蛹,50.0,50.0,50.0,,斤
牛蛙,7.0,7.5,7.25,,斤
海蜇头,10.0,12.0,11.0,,斤
海蜇皮,12.0,15.0,13.5,,斤
海蜇丝,7.0,8.0,7.5,,斤
箱装菠萝,2.2,2.4,2.3,,斤
国产凤梨,2.3,2.6,2.45,,斤
圣女果,6.0,6.5,6.25,,斤
百香果,7.0,9.0,8.0,,斤
黑枣,10.0,13.0,11.5,,斤
冬枣,3.0,6.5,4.75,,斤
人参果,4.5,8.0,6.25,,斤
九九草莓,50.0,55.0,52.5,,斤
宁玉草莓,27.0,30.0,28.5,,斤
火龙果,3.6,7.0,5.3,,斤
火龙果,4.0,6.0,5.0,,斤
板栗,3.0,4.0,3.5,,斤
油栗,4.0,7.5,5.75,,斤
木瓜,6.2,7.0,6.6,,斤
柿饼,7.0,12.0,9.5,,斤
磨盘柿子,2.0,2.4,2.2,,斤
脆皮柿子,1.5,2.2,1.85,,斤
甘蔗,1.8,2.6,2.2,,斤
桑葚,6.0,9.0,7.5,,斤
柠檬,3.0,5.0,4.0,,斤
石榴,3.0,4.5,3.75,,斤
小金星山楂,4.5,5.5,5.0,,斤
山楂,3.0,4.0,3.5,,斤
姑娘果（灯笼果）,10.0,20.0,15.0,,斤
鸡心果（沙果）,3.0,6.0,4.5,,斤
鸭梨,2.0,2.2,2.1,,斤
雪花梨,1.8,2.1,1.95,,斤
皇冠梨,2.5,2.8,2.65,,斤
南果梨,2.0,6.0,4.0,,斤
丰水梨,3.3,3.7,3.5,,斤
广梨,2.5,3.5,3.0,,斤
酥梨,1.6,2.3,1.95,,斤
库尔勒香梨,2.5,4.5,3.5,,斤
红香酥梨,2.0,2.5,2.25,,斤
红啤梨,3.5,4.5,4.0,,斤
玉露香梨,2.5,6.0,4.25,,斤
京白梨,2.0,3.0,2.5,,斤
贵妃梨,1.6,1.9,1.75,,斤
秋月梨,2.5,4.5,3.5,,斤
蜜桔,2.0,2.7,2.35,,斤
小叶桔,2.2,2.8,2.5,,斤
丑橘,3.0,4.8,3.9,,斤
爱媛,2.0,4.8,3.4,,斤
赣南脐橙,3.0,4.0,3.5,,斤
金桔,10.0,12.0,11.0,,斤
夏橙,2.8,4.2,3.5,,斤
金秋沙糖桔,7.5,8.5,8.0,,斤
红心蜜柚,2.0,3.2,2.6,,斤
蜜柚,1.8,3.0,2.4,,斤
葡萄柚,2.2,3.3,2.75,,斤
冬桃,1.8,3.5,2.65,,斤
秋红（晚桃）,4.0,6.0,5.0,,斤
猕猴桃（翠香）,5.2,7.0,6.1,,斤
猕猴桃（徐香）,2.5,4.5,3.5,,斤
猕猴桃（红阳）,8.0,11.0,9.5,,斤
猕猴桃（亚特),3.0,4.0,3.5,,斤
李子,2.0,4.5,3.25,,斤
西梅,7.5,10.0,8.75,,斤
无籽小号-大号,1.6,1.7,1.65,,斤
麒麟,1.9,2.5,2.2,,斤
黑美人,2.0,2.2,2.1,,斤
特小凤,2.0,2.5,2.25,,斤
L600吊秧瓜,2.8,3.0,2.9,,斤
甜王,1.1,1.8,1.45,,斤
国产香蕉,3.2,3.5,3.35,,斤
进口香蕉,4.0,5.0,4.5,,斤
泰国香蕉,12.0,14.0,13.0,,斤
晓蜜25号,2.1,2.7,2.4,,斤
西州蜜,2.0,2.3,2.15,,斤
玉菇,2.5,2.7,2.6,,斤
网纹,4.5,6.0,5.25,,斤
羊角蜜,4.0,5.5,4.75,,斤
花蕾甜瓜,4.5,5.5,5.0,,斤
绿宝甜瓜,4.0,5.5,4.75,,斤
博阳,4.5,5.0,4.75,,斤
久红瑞,2.7,3.0,2.85,,斤
富士,2.0,4.3,3.15,,斤
富士,1.8,2.6,2.2,,斤
富士,4.5,5.5,5.0,,斤
黄元帅,2.5,3.5,3.0,,斤
花牛,2.0,4.0,3.0,,斤
阿克苏,3.7,4.6,4.15,新疆,斤
国光,2.4,2.8,2.6,,斤
寒富苹果,2.0,2.4,2.2,,斤
王林,2.3,2.5,2.4,,斤
阳光玫瑰,5.0,9.0,7.0,,斤
红提葡萄,6.0,7.5,6.75,,斤
玫瑰香,6.0,8.0,7.0,,斤
克伦生,7.0,8.0,7.5,,斤
夏黑葡萄,6.0,9.0,7.5,,斤
辽峰,7.5,9.0,8.25,,斤
郁金香,6.5,8.0,7.25,,斤
红宝石,5.0,7.0,6.0,,斤
美人指,9.0,10.0,9.5,,斤
巨峰葡萄,2.8,3.8,3.3,,斤
新疆无核,4.5,6.0,5.25,,斤
青提（维多利亚）,3.5,5.0,4.25,,斤
紫甜葡萄,5.0,6.0,5.5,,斤
台农,11.0,12.0,11.5,,斤
凯特芒,6.5,8.0,7.25,,斤
澳芒,12.0,13.0,12.5,,斤
水仙芒果,9.5,10.0,9.75,,斤
大白菜,0.35,0.45,0.4,冀,斤
娃娃菜,0.6,0.8,0.7,蒙,斤
小白菜,0.8,0.9,0.85,冀,斤
圆白菜,0.55,0.8,0.68,冀,斤
紫甘蓝,1.5,1.6,1.55,宁冀陕,斤
芹菜,1.0,1.4,1.2,冀鲁,斤
西芹,3.5,4.0,3.75,辽,斤
菠菜,0.8,1.0,0.9,冀蒙辽,斤
莴笋,1.3,2.1,1.7,鲁,斤
团生菜,1.0,1.5,1.25,冀,斤
罗马生菜,1.5,2.3,1.9,云京,斤
散叶生菜,1.0,1.5,1.25,冀京,斤
油菜,0.6,1.0,0.8,京鲁皖,斤
香菜,1.5,2.2,1.85,冀辽吉,斤
茴香,1.5,2.2,1.85,冀,斤
韭菜,2.0,3.0,2.5,冀粤,斤
苦菊,1.3,2.0,1.65,辽冀,斤
油麦菜,1.5,2.2,1.85,京,斤
散菜花,1.4,2.6,2.0,冀鲁云,斤
